#name	label	class	CHG	CpG5	CpG3	maxExpr	nSamples	WGA	allData	noExpr	noMeth	noWGA
Sb10g008890	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g008880	synteny	high	1	1	1	4	5	1	functional	functional	functional	functional
Sb10g008830	synteny	high	1	1	0	3	1	1	functional	functional	functional	functional
Sb10g008850	synteny	high	1	1	1	5	12	1	functional	functional	non	functional
Sb10g008870	synteny	high	1	1	1	5	12	0.998251	functional	functional	functional	functional
Sb10g008800	synteny	high	1	1	1	4	7	1	functional	functional	functional	non
Sb10g008810	synteny	high	1	1	1	5	12	1	functional	functional	functional	functional
Sb10g008820	synteny	high	1	1	1	5	2	0.988846	non	non	functional	functional
Sb10g008780	synteny	high	1	1	1	4	4	1	functional	non	functional	functional
Sb10g008750	synteny	high	1	1	1	3	1	1	functional	functional	functional	functional
Sb10g008760	synteny	high	1	1	0.73	3	4	1	functional	functional	functional	functional
Sb10g008740	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g008770	synteny	high	1	1	0	3	12	1	non	non	non	non
Sb10g008690	synteny	high	1	1	1	3	1	0.868722	functional	functional	functional	functional
Sb10g008710	synteny	high	0	0	0	1	0	0.972426	non	non	non	non
Sb10g008720	synteny	high	1	1	1	1	0	0	non	non	functional	functional
Sb10g008730	synteny	high	1	1	0.66	1	0	0.9071	functional	functional	functional	functional
Sb10g008680	synteny	high	1	1	0	2	0	1	non	non	non	non
Sb10g008670	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g008660	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb10g008640	synteny	high	1	1	0	3	1	1	functional	functional	functional	functional
Sb10g008650	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g008630	synteny	high	1	1	0	3	4	0.986923	functional	functional	non	functional
Sb10g008620	synteny	high	1	1	1	4	10	0.886144	non	non	functional	non
Sb10g008610	synteny	high	1	1	1	2	0	1	functional	functional	non	functional
Sb10g008580	synteny	high	1	1	1	5	12	1	functional	functional	non	functional
Sb10g008590	synteny	high	1	1	0	2	0	1	non	non	non	non
Sb10g008540	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb10g008550	synteny	high	1	1	1	2	0	1	functional	functional	non	functional
Sb10g008560	synteny	high	1	0.85	1	3	2	0.99728	functional	functional	functional	functional
Sb10g008510	synteny	high	1	1	1	3	6	1	functional	functional	functional	functional
Sb10g008490	synteny	high	1	1	1	2	0	1	non	non	non	non
Sb10g008500	synteny	high	1	1	1	3	3	1	functional	functional	functional	functional
Sb10g008440	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb10g008450	synteny	high	1	0.03	1	2	0	0.997258	functional	functional	functional	functional
Sb10g008460	synteny	high	1	1	1	1	0	0.990642	non	non	functional	functional
Sb10g008470	synteny	high	1	1	1	4	3	1	non	non	functional	functional
Sb10g008430	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g008433	synteny	high	0	0	0	1	0	0.863855	non	non	functional	non
Sb10g008420	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g008410	synteny	high	1	1	1	3	2	0.993762	functional	functional	functional	functional
Sb10g008340	synteny	high	1	1	0	4	7	0.873092	functional	functional	functional	functional
Sb10g008350	synteny	high	1	0.21	1	5	12	1	functional	functional	functional	functional
Sb10g008360	synteny	high	1	1	1	3	2	1	functional	functional	functional	functional
Sb10g008370	synteny	high	1	1	1	3	9	1	functional	functional	functional	functional
Sb10g008380	synteny	high	1	1	1	5	12	1	non	non	functional	non
Sb10g008330	synteny	high	1	1	1	3	4	1	functional	functional	functional	functional
Sb10g008310	synteny	high	1	1	1	5	5	1	functional	functional	functional	functional
Sb10g008290	synteny	high	1	1	1	4	7	1	functional	functional	functional	functional
Sb10g008280	synteny	high	1	1	1	3	5	0.974112	functional	functional	functional	functional
Sb10g008260	synteny	high	1	1	1	5	12	0.908438	functional	functional	functional	functional
Sb10g008270	synteny	high	1	1	1	4	11	1	functional	functional	functional	functional
Sb10g008240	synteny	high	1	1	0	4	9	1	functional	functional	functional	functional
Sb10g008230	synteny	high	1	1	1	4	12	1	functional	functional	functional	functional
Sb10g008220	synteny	high	0.822581	1	0	5	4	1	functional	functional	non	functional
Sb10g008203	synteny	high	1	1	1	2	0	1	functional	functional	functional	functional
Sb10g008206	synteny	high	1	0	1	4	2	1	non	non	non	non
Sb10g008200	synteny	high	1	1	1	3	1	0.978834	functional	functional	functional	functional
Sb10g008190	synteny	high	1	1	1	4	2	1	functional	functional	functional	functional
Sb10g008170	synteny	high	1	1	1	3	4	1	functional	functional	functional	functional
Sb10g008120	synteny	high	1	1	1	1	0	1	functional	functional	functional	functional
Sb10g008130	synteny	high	1	1	1	4	2	0.908687	functional	non	functional	functional
Sb10g008110	synteny	high	1	0	1	1	0	1	non	non	non	non
Sb10g008100	synteny	high	1	0	1	2	0	0.987765	non	non	functional	non
Sb10g008060	synteny	high	1	1	1	3	5	1	functional	functional	functional	functional
Sb10g008070	synteny	high	0	0	0	1	0	0	functional	functional	functional	functional
Sb10g008080	synteny	high	1	1	0.8	3	1	0.990223	functional	functional	functional	functional
Sb10g008090	synteny	high	0.915719	1	1	5	9	0.987291	non	non	functional	non
Sb10g008040	synteny	high	1	1	0	5	5	1	functional	functional	non	functional
